Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
goat,6.0,101.8,depression,painless lumps,loss of appetite,pneumonia
sheep,5.0,102.6,loss of appetite,sores on hooves,difficulty walking,foot and mouth
sheep,4.0,101.2,loss of appetite,swelling in limb,crackling sound,blackleg
cow,8.0,102.7,chills,sweats,fatigue,anthrax
cow,15.0,101.3,painless lumps,loss of appetite,depression,lumpy virus
cow,7.0,100.9,loss of appetite,painless lumps,depression,lumpy virus
cow,11.0,103.6,painless lumps,depression,loss of appetite,lumpy virus
cow,4.0,101.8,painless lumps,loss of appetite,depression,lumpy virus
sheep,6.0,102.4,loss of appetite,painless lumps,depression,pneumonia
goat,3.0,102.9,difficulty walking,loss of appetite,blisters on gums,foot and mouth
sheep,8.0,100.1,crackling sound,loss of appetite,depression,blackleg
cow,4.0,104.3,depression,painless lumps,loss of appetite,pneumonia
goat,9.0,104.1,painless lumps,depression,loss of appetite,pneumonia
goat,5.0,100.6,shortness of breath,sweats,chills,anthrax
cow,11.0,101.3,loss of appetite,depression,painless lumps,pneumonia
sheep,10.0,104.5,depression,painless lumps,loss of appetite,lumpy virus
sheep,4.0,102.4,crackling sound,loss of appetite,lameness,blackleg
cow,4.0,101.2,difficulty walking,loss of appetite,swelling in muscle,blackleg
buffalo,8.0,100.1,swelling in limb,loss of appetite,crackling sound,blackleg
sheep,7.0,101.6,loss of appetite,depression,painless lumps,pneumonia
buffalo,4.0,103.0,sweats,shortness of breath,chills,anthrax
goat,1.0,102.4,loss of appetite,lameness,sores on hooves,foot and mouth
cow,6.0,101.1,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
cow,12.0,101.5,difficulty walking,loss of appetite,blisters on gums,foot and mouth
sheep,5.0,103.7,depression,loss of appetite,painless lumps,lumpy virus
goat,10.0,101.2,swelling in neck,chest discomfort,sweats,anthrax
buffalo,2.0,102.0,lameness,loss of appetite,blisters on mouth,foot and mouth
cow,3.0,100.3,loss of appetite,painless lumps,depression,pneumonia
buffalo,2.0,102.9,sores on mouth,loss of appetite,difficulty walking,foot and mouth
buffalo,14.0,103.9,swelling in limb,difficulty walking,loss of appetite,blackleg
cow,13.0,104.8,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,15.0,102.0,depression,painless lumps,loss of appetite,lumpy virus
buffalo,14.0,100.8,painless lumps,depression,loss of appetite,lumpy virus
goat,10.0,100.0,depression,painless lumps,loss of appetite,lumpy virus
cow,8.0,100.3,swelling in muscle,loss of appetite,lameness,blackleg
goat,3.0,102.8,swelling in muscle,depression,crackling sound,blackleg
cow,8.0,102.7,swelling in limb,loss of appetite,crackling sound,blackleg
goat,3.0,100.7,fatigue,shortness of breath,sweats,anthrax
cow,5.0,101.3,loss of appetite,blisters on gums,difficulty walking,foot and mouth
buffalo,9.0,104.8,depression,difficulty walking,loss of appetite,blackleg
sheep,8.0,100.3,shortness of breath,chills,sweats,anthrax
sheep,10.0,100.4,lameness,crackling sound,depression,blackleg
sheep,1.0,103.2,sweats,fatigue,chest discomfort,anthrax
sheep,6.0,100.7,painless lumps,depression,loss of appetite,lumpy virus
cow,11.0,102.9,loss of appetite,depression,difficulty walking,blackleg
goat,3.0,101.1,swelling in limb,crackling sound,lameness,blackleg
cow,4.0,104.9,painless lumps,loss of appetite,depression,pneumonia
sheep,4.0,104.7,difficulty walking,loss of appetite,crackling sound,blackleg
buffalo,11.0,100.5,depression,loss of appetite,painless lumps,lumpy virus
sheep,9.0,104.8,chills,swelling in abdomen,sweats,anthrax
sheep,10.0,104.2,difficulty walking,swelling in limb,loss of appetite,blackleg
goat,5.0,100.7,swelling in limb,loss of appetite,depression,blackleg
goat,8.0,100.9,painless lumps,depression,loss of appetite,lumpy virus
cow,3.0,104.5,painless lumps,depression,loss of appetite,pneumonia
cow,14.0,104.4,loss of appetite,swelling in muscle,crackling sound,blackleg
goat,8.0,100.4,depression,loss of appetite,painless lumps,pneumonia
sheep,7.0,103.2,loss of appetite,difficulty walking,sores on hooves,foot and mouth
buffalo,15.0,100.7,loss of appetite,depression,painless lumps,pneumonia
buffalo,11.0,103.4,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,5.0,101.6,lameness,loss of appetite,sores on hooves,foot and mouth
cow,11.0,104.6,depression,painless lumps,loss of appetite,lumpy virus
sheep,2.0,100.5,difficulty walking,sores on mouth,loss of appetite,foot and mouth
buffalo,10.0,100.3,painless lumps,loss of appetite,depression,pneumonia
cow,8.0,105.0,sweats,chest discomfort,shortness of breath,anthrax
goat,1.0,102.9,depression,painless lumps,loss of appetite,pneumonia
buffalo,1.0,100.4,depression,painless lumps,loss of appetite,lumpy virus
goat,8.0,101.1,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
cow,11.0,104.7,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
buffalo,15.0,102.8,crackling sound,swelling in muscle,depression,blackleg
buffalo,5.0,104.7,painless lumps,loss of appetite,depression,lumpy virus
goat,7.0,101.5,painless lumps,depression,loss of appetite,pneumonia
sheep,4.0,103.8,difficulty walking,swelling in limb,crackling sound,blackleg
cow,10.0,102.1,difficulty walking,loss of appetite,blisters on gums,foot and mouth
goat,6.0,101.9,depression,loss of appetite,painless lumps,lumpy virus
goat,4.0,102.5,swelling in extremities,sweats,chest discomfort,anthrax
sheep,9.0,100.8,painless lumps,depression,loss of appetite,lumpy virus
sheep,3.0,100.4,loss of appetite,crackling sound,difficulty walking,blackleg
buffalo,15.0,103.4,painless lumps,loss of appetite,depression,pneumonia
buffalo,4.0,103.2,painless lumps,loss of appetite,depression,lumpy virus
cow,7.0,100.1,shortness of breath,fatigue,chest discomfort,anthrax
buffalo,3.0,100.9,shortness of breath,fatigue,sweats,anthrax
buffalo,2.0,104.8,depression,loss of appetite,painless lumps,lumpy virus
sheep,7.0,101.6,painless lumps,depression,loss of appetite,pneumonia
cow,13.0,103.0,shortness of breath,fatigue,swelling in extremities,anthrax
cow,6.0,101.2,sweats,chills,chest discomfort,anthrax
cow,2.0,101.8,loss of appetite,lameness,sores on mouth,foot and mouth
cow,8.0,101.1,difficulty walking,crackling sound,swelling in limb,blackleg
cow,10.0,101.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,14.0,103.8,depression,painless lumps,loss of appetite,lumpy virus
cow,14.0,102.2,depression,painless lumps,loss of appetite,lumpy virus
sheep,8.0,104.9,depression,loss of appetite,painless lumps,pneumonia
sheep,6.0,102.5,lameness,swelling in muscle,crackling sound,blackleg
sheep,7.0,101.0,loss of appetite,crackling sound,depression,blackleg
cow,8.0,103.0,loss of appetite,difficulty walking,sores on gums,foot and mouth
buffalo,7.0,101.2,depression,loss of appetite,painless lumps,pneumonia
buffalo,7.0,101.4,shortness of breath,chills,chest discomfort,anthrax
goat,1.0,102.0,chills,fatigue,shortness of breath,anthrax
cow,10.0,101.1,lameness,sores on mouth,loss of appetite,foot and mouth
cow,3.0,101.4,depression,loss of appetite,painless lumps,pneumonia
cow,2.0,101.3,depression,painless lumps,loss of appetite,pneumonia
buffalo,4.0,102.8,difficulty walking,crackling sound,loss of appetite,blackleg
cow,3.0,104.2,chest discomfort,fatigue,shortness of breath,anthrax
cow,5.0,100.5,loss of appetite,sores on tongue,lameness,foot and mouth
goat,7.0,101.4,sores on hooves,loss of appetite,lameness,foot and mouth
cow,11.0,100.2,loss of appetite,lameness,sores on gums,foot and mouth
sheep,3.0,102.8,loss of appetite,painless lumps,depression,lumpy virus
cow,6.0,101.7,depression,painless lumps,loss of appetite,lumpy virus
buffalo,12.0,101.6,sweats,fatigue,swelling in abdomen,anthrax
goat,1.0,103.5,loss of appetite,painless lumps,depression,pneumonia
buffalo,1.0,102.4,crackling sound,swelling in limb,difficulty walking,blackleg
buffalo,11.0,100.2,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,6.0,101.6,painless lumps,depression,loss of appetite,pneumonia
goat,9.0,102.8,painless lumps,loss of appetite,depression,pneumonia
sheep,10.0,100.1,difficulty walking,loss of appetite,blisters on gums,foot and mouth
buffalo,13.0,103.0,swelling in neck,sweats,fatigue,anthrax
sheep,9.0,103.9,loss of appetite,difficulty walking,sores on mouth,foot and mouth
sheep,4.0,100.7,sores on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,7.0,103.2,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,8.0,103.8,fatigue,shortness of breath,sweats,anthrax
goat,4.0,102.1,loss of appetite,painless lumps,depression,lumpy virus
goat,2.0,104.1,crackling sound,swelling in limb,loss of appetite,blackleg
goat,1.0,100.9,swelling in extremities,shortness of breath,chest discomfort,anthrax
goat,3.0,102.7,loss of appetite,depression,painless lumps,pneumonia
goat,5.0,103.2,depression,loss of appetite,painless lumps,lumpy virus
goat,6.0,102.0,loss of appetite,sores on gums,lameness,foot and mouth
buffalo,1.0,104.8,difficulty walking,blisters on gums,loss of appetite,foot and mouth
buffalo,3.0,104.5,lameness,loss of appetite,sores on tongue,foot and mouth
sheep,9.0,103.7,shortness of breath,sweats,chest discomfort,anthrax
goat,6.0,101.8,loss of appetite,depression,painless lumps,pneumonia
buffalo,12.0,100.1,loss of appetite,crackling sound,depression,blackleg
cow,5.0,102.0,painless lumps,depression,loss of appetite,lumpy virus
cow,11.0,102.5,loss of appetite,blisters on tongue,lameness,foot and mouth
sheep,4.0,103.0,lameness,loss of appetite,sores on gums,foot and mouth
goat,2.0,100.3,lameness,swelling in muscle,depression,blackleg
buffalo,7.0,101.2,swelling in muscle,crackling sound,depression,blackleg
buffalo,14.0,102.9,crackling sound,depression,lameness,blackleg
buffalo,5.0,100.6,lameness,depression,crackling sound,blackleg
cow,8.0,101.7,painless lumps,depression,loss of appetite,pneumonia
goat,6.0,103.8,difficulty walking,loss of appetite,sores on gums,foot and mouth
buffalo,9.0,101.3,depression,painless lumps,loss of appetite,lumpy virus
buffalo,2.0,100.7,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
goat,4.0,100.9,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,1.0,102.0,shortness of breath,sweats,fatigue,anthrax
sheep,8.0,101.2,crackling sound,depression,difficulty walking,blackleg
goat,7.0,100.9,chills,sweats,fatigue,anthrax
cow,10.0,102.2,swelling in neck,sweats,fatigue,anthrax
goat,6.0,104.1,painless lumps,depression,loss of appetite,pneumonia
buffalo,7.0,101.2,depression,painless lumps,loss of appetite,lumpy virus
cow,6.0,103.1,difficulty walking,crackling sound,depression,blackleg
goat,6.0,102.5,sores on gums,loss of appetite,lameness,foot and mouth
cow,7.0,101.9,chest discomfort,sweats,swelling in extremities,anthrax
sheep,3.0,104.2,loss of appetite,painless lumps,depression,pneumonia
goat,10.0,102.2,depression,loss of appetite,painless lumps,lumpy virus
buffalo,13.0,104.4,swelling in muscle,depression,crackling sound,blackleg
sheep,10.0,102.0,difficulty walking,loss of appetite,sores on hooves,foot and mouth
buffalo,2.0,100.2,swelling in limb,depression,crackling sound,blackleg
buffalo,11.0,100.3,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,10.0,101.4,sweats,fatigue,chills,anthrax
sheep,10.0,102.7,painless lumps,loss of appetite,depression,pneumonia
sheep,1.0,103.3,loss of appetite,painless lumps,depression,pneumonia
goat,8.0,103.9,loss of appetite,depression,painless lumps,lumpy virus
cow,6.0,102.4,loss of appetite,painless lumps,depression,lumpy virus
goat,2.0,102.3,crackling sound,depression,loss of appetite,blackleg
goat,9.0,100.7,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
cow,13.0,103.3,sores on hooves,lameness,loss of appetite,foot and mouth
goat,8.0,101.5,swelling in extremities,chest discomfort,sweats,anthrax
sheep,10.0,103.6,swelling in neck,sweats,shortness of breath,anthrax
goat,1.0,102.9,swelling in neck,sweats,fatigue,anthrax
sheep,2.0,101.0,sweats,chills,fatigue,anthrax
sheep,8.0,100.1,loss of appetite,painless lumps,depression,pneumonia
goat,9.0,102.8,crackling sound,depression,loss of appetite,blackleg
buffalo,14.0,100.6,crackling sound,lameness,depression,blackleg
cow,7.0,103.9,shortness of breath,sweats,chills,anthrax
buffalo,5.0,101.5,loss of appetite,painless lumps,depression,pneumonia
sheep,4.0,100.4,loss of appetite,sores on mouth,difficulty walking,foot and mouth
goat,1.0,102.8,loss of appetite,depression,painless lumps,pneumonia
cow,12.0,105.0,sweats,fatigue,swelling in extremities,anthrax
buffalo,1.0,103.3,loss of appetite,difficulty walking,crackling sound,blackleg
goat,9.0,102.8,lameness,sores on hooves,loss of appetite,foot and mouth
sheep,4.0,100.8,loss of appetite,painless lumps,depression,pneumonia
cow,8.0,102.7,depression,loss of appetite,painless lumps,pneumonia
sheep,8.0,103.3,loss of appetite,lameness,sores on gums,foot and mouth
sheep,5.0,104.3,loss of appetite,lameness,depression,blackleg
sheep,1.0,104.2,difficulty walking,blisters on gums,loss of appetite,foot and mouth
sheep,1.0,100.0,blisters on gums,loss of appetite,lameness,foot and mouth
buffalo,10.0,100.7,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,2.0,101.9,lameness,loss of appetite,swelling in muscle,blackleg
goat,1.0,100.0,blisters on gums,difficulty walking,loss of appetite,foot and mouth
cow,5.0,101.7,loss of appetite,blisters on gums,lameness,foot and mouth
sheep,9.0,100.6,loss of appetite,lameness,swelling in muscle,blackleg
goat,6.0,101.6,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
cow,3.0,100.3,depression,loss of appetite,painless lumps,pneumonia
sheep,9.0,102.5,swelling in muscle,crackling sound,depression,blackleg
goat,3.0,101.4,depression,loss of appetite,painless lumps,pneumonia
goat,1.0,100.3,painless lumps,depression,loss of appetite,lumpy virus
cow,14.0,101.5,depression,loss of appetite,painless lumps,pneumonia
sheep,9.0,102.9,fatigue,shortness of breath,sweats,anthrax
goat,5.0,100.5,depression,loss of appetite,lameness,blackleg
cow,4.0,101.1,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
goat,10.0,103.9,swelling in limb,loss of appetite,depression,blackleg
buffalo,6.0,104.1,painless lumps,loss of appetite,depression,lumpy virus
buffalo,7.0,104.7,difficulty walking,swelling in muscle,crackling sound,blackleg
cow,13.0,102.6,blisters on gums,loss of appetite,lameness,foot and mouth
goat,6.0,104.6,loss of appetite,depression,painless lumps,lumpy virus
sheep,1.0,104.0,blisters on gums,lameness,loss of appetite,foot and mouth
goat,2.0,100.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,8.0,102.6,depression,painless lumps,loss of appetite,pneumonia
sheep,8.0,100.2,swelling in limb,depression,loss of appetite,blackleg
cow,10.0,101.3,swelling in muscle,loss of appetite,depression,blackleg
buffalo,7.0,101.2,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,4.0,102.3,lameness,loss of appetite,blisters on gums,foot and mouth
cow,4.0,104.5,depression,loss of appetite,painless lumps,pneumonia
cow,3.0,104.0,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,6.0,103.3,painless lumps,depression,loss of appetite,lumpy virus
buffalo,5.0,101.3,loss of appetite,sores on tongue,lameness,foot and mouth
sheep,3.0,100.8,shortness of breath,sweats,fatigue,anthrax
cow,13.0,103.2,depression,loss of appetite,painless lumps,pneumonia
goat,10.0,100.9,depression,crackling sound,swelling in limb,blackleg
buffalo,3.0,102.1,chest discomfort,shortness of breath,sweats,anthrax
buffalo,6.0,102.2,swelling in muscle,loss of appetite,difficulty walking,blackleg
goat,4.0,100.3,loss of appetite,depression,painless lumps,pneumonia
sheep,2.0,100.9,loss of appetite,painless lumps,depression,lumpy virus
goat,9.0,100.1,loss of appetite,painless lumps,depression,lumpy virus
sheep,10.0,103.4,swelling in muscle,crackling sound,difficulty walking,blackleg
cow,1.0,103.5,sweats,chest discomfort,swelling in abdomen,anthrax
buffalo,8.0,101.2,depression,loss of appetite,painless lumps,pneumonia
cow,14.0,104.3,loss of appetite,painless lumps,depression,pneumonia
sheep,3.0,101.3,chills,fatigue,shortness of breath,anthrax
buffalo,15.0,103.0,lameness,crackling sound,loss of appetite,blackleg
cow,5.0,101.3,swelling in muscle,lameness,depression,blackleg
goat,7.0,104.3,chest discomfort,shortness of breath,chills,anthrax
cow,12.0,101.1,loss of appetite,painless lumps,depression,pneumonia
sheep,6.0,102.9,loss of appetite,lameness,blisters on gums,foot and mouth
sheep,4.0,102.1,loss of appetite,depression,painless lumps,lumpy virus
goat,7.0,100.8,loss of appetite,depression,painless lumps,lumpy virus
cow,1.0,102.0,loss of appetite,depression,crackling sound,blackleg
buffalo,14.0,102.0,depression,loss of appetite,crackling sound,blackleg
buffalo,6.0,101.3,depression,painless lumps,loss of appetite,pneumonia
goat,2.0,102.5,shortness of breath,fatigue,chills,anthrax
